"ITEM","RESULT","VALUE","CRITERIA","COMMENT"
"BIOS_DATE","PASS","01/26/2018","01/26/2018",""
"BIOS_VEN","PASS","coreboot","coreboot",""
"BIOS_VER","PASS","2.39.2","2.39.2",""
"BT","PASS","80:D2:1D:98:14:90","",""
"CKWIFI2G","FAIL",-23.0,"-30","not match & The value must be between -40 and -25"
"CKWIFI2GND","PASS",-50.0,"-55",""
"CKWIFI5G","PASS",-55.0,"-70",""
"CheckBTP","PASS","PASS","PASS",""
"CkMBINT","PASS","0","0",""
"EMMC_SIZE","PASS","7456","7456",""
"IMG_VER","PASS","0.0.5","0.0.5",""
"IMU_INT1","PASS","PASS","Pass",""
"IMU_INT2","PASS","PASS","Pass",""
"MEM_SIZE","PASS","1931","1931",""
"RePCBASN","PASS","67890","67890",""
"VeriCBIOP","PASS","PASS","Pass",""
"VeriIMU","PASS","PASS","Pass",""
"VeriLB1I2C","PASS","PASS","PASS",""
"VeriLB2I2C","PASS","PASS","PASS",""
"VeriUART","PASS","PASS","Pass",""
"VeriUBI2C","PASS","PASS","PASS",""
"VeriUSB2","PASS","PASS","Pass",""
"WIFI","PASS","80:D2:1D:98:14:91","",""
"WrPCBASN","PASS","PASS","PASS",""
